module_path	file	layer	imports_from_layers	upward_imports	cross_layer_imports	violations
db::executor::stream::key::distinct	crates/icydb-core/src/db/executor/stream/key/distinct.rs	executor	executor,index/storage	0	1	cross-layer-semantic-mix
db::executor::stream::key	crates/icydb-core/src/db/executor/stream/key/mod.rs	executor		0	0	none
db::executor::stream::key::order	crates/icydb-core/src/db/executor/stream/key/order.rs	executor	index/storage	0	2	cross-layer-semantic-mix
db::executor::stream	crates/icydb-core/src/db/executor/stream/mod.rs	executor		0	0	none
db::executor::terminal::bytes	crates/icydb-core/src/db/executor/terminal/bytes.rs	executor	query/plan,access,executor,index/storage	3	4	upward-import,cross-layer-semantic-mix
db::executor::terminal	crates/icydb-core/src/db/executor/terminal/mod.rs	executor	query/plan,executor,codec	1	2	upward-import,cross-layer-semantic-mix
db::executor::terminal::page	crates/icydb-core/src/db/executor/terminal/page.rs	executor	query/plan,executor	1	1	upward-import,cross-layer-semantic-mix
db::executor::terminal::ranking::by_slot	crates/icydb-core/src/db/executor/terminal/ranking/by_slot.rs	executor	query/plan,executor	1	1	upward-import,cross-layer-semantic-mix
db::executor::terminal::ranking::materialized	crates/icydb-core/src/db/executor/terminal/ranking/materialized/mod.rs	executor	executor	0	0	none
db::executor::terminal::ranking::materialized::projections	crates/icydb-core/src/db/executor/terminal/ranking/materialized/projections.rs	executor	executor	0	0	none
db::executor::terminal::ranking	crates/icydb-core/src/db/executor/terminal/ranking/mod.rs	executor		0	0	none
db::executor::terminal::ranking::take	crates/icydb-core/src/db/executor/terminal/ranking/take.rs	executor	executor	0	0	none
db::executor::traversal	crates/icydb-core/src/db/executor/traversal.rs	executor	query/plan	2	2	upward-import,cross-layer-semantic-mix
db::executor::util	crates/icydb-core/src/db/executor/util.rs	executor		0	0	none
db::executor::window	crates/icydb-core/src/db/executor/window.rs	executor	query/plan,executor	1	1	upward-import,cross-layer-semantic-mix
db::identity	crates/icydb-core/src/db/identity/mod.rs	support		0	0	none
db::index::entry	crates/icydb-core/src/db/index/entry.rs	index/storage	index/storage	0	0	none
db::index::envelope	crates/icydb-core/src/db/index/envelope.rs	index/storage		0	0	none
db::index::key::build	crates/icydb-core/src/db/index/key/build.rs	index/storage	index/storage	0	0	none
db::index::key::codec::bounds	crates/icydb-core/src/db/index/key/codec/bounds.rs	index/storage	index/storage	0	0	none
db::index::key::codec::envelope	crates/icydb-core/src/db/index/key/codec/envelope.rs	index/storage	index/storage	0	0	none
db::index::key::codec::error	crates/icydb-core/src/db/index/key/codec/error.rs	index/storage		0	0	none
db::index::key::codec	crates/icydb-core/src/db/index/key/codec/mod.rs	index/storage	index/storage	0	0	none
db::index::key::codec::scalar	crates/icydb-core/src/db/index/key/codec/scalar.rs	index/storage	index/storage	0	0	none
db::index::key::codec::tuple	crates/icydb-core/src/db/index/key/codec/tuple.rs	index/storage	index/storage	0	0	none
db::index::key::id	crates/icydb-core/src/db/index/key/id.rs	index/storage		0	0	none
db::index::key	crates/icydb-core/src/db/index/key/mod.rs	index/storage		0	0	none
db::index::key::ordered::error	crates/icydb-core/src/db/index/key/ordered/error.rs	index/storage		0	0	none
db::index::key::ordered	crates/icydb-core/src/db/index/key/ordered/mod.rs	index/storage	index/storage	0	0	none
db::index::key::ordered::normalize	crates/icydb-core/src/db/index/key/ordered/normalize.rs	index/storage	index/storage	0	0	none
db::index::key::ordered::parts	crates/icydb-core/src/db/index/key/ordered/parts.rs	index/storage	index/storage	0	0	none
db::index::key::ordered::semantics	crates/icydb-core/src/db/index/key/ordered/semantics.rs	index/storage	index/storage	0	0	none
db::index	crates/icydb-core/src/db/index/mod.rs	index/storage		0	0	none
db::index::pk_equivalence	crates/icydb-core/src/db/index/pk_equivalence.rs	index/storage	index/storage	0	0	none
db::index::plan::commit_ops	crates/icydb-core/src/db/index/plan/commit_ops.rs	index/storage	index/storage	0	0	none
db::index::plan	crates/icydb-core/src/db/index/plan/mod.rs	index/storage	index/storage	0	0	none
db::index::plan::private	crates/icydb-core/src/db/index/plan/private.rs	index/storage		0	0	none
db::index::plan::unique	crates/icydb-core/src/db/index/plan/unique.rs	index/storage	index/storage	0	0	none
db::index::predicate::compile	crates/icydb-core/src/db/index/predicate/compile.rs	index/storage	index/storage	0	0	none
db::index::predicate	crates/icydb-core/src/db/index/predicate/mod.rs	index/storage	index/storage	0	0	none
db::index::range	crates/icydb-core/src/db/index/range.rs	index/storage	index/storage	0	0	none
db::index::scan	crates/icydb-core/src/db/index/scan.rs	index/storage	executor,index/storage	5	5	upward-import,cross-layer-semantic-mix
db::index::store	crates/icydb-core/src/db/index/store.rs	index/storage	index/storage	0	0	none
db	crates/icydb-core/src/db/mod.rs	support	executor,index/storage	0	0	none
db::numeric	crates/icydb-core/src/db/numeric/mod.rs	support		0	0	none
db::predicate::coercion	crates/icydb-core/src/db/predicate/coercion.rs	support		0	0	none
db::predicate::encoding	crates/icydb-core/src/db/predicate/encoding.rs	support	codec	0	0	none
db::predicate::fingerprint	crates/icydb-core/src/db/predicate/fingerprint.rs	support		0	0	none
db::predicate	crates/icydb-core/src/db/predicate/mod.rs	support		0	0	none
db::predicate::model	crates/icydb-core/src/db/predicate/model.rs	support		0	0	none
db::predicate::normalize	crates/icydb-core/src/db/predicate/normalize.rs	support		0	0	none
db::predicate::resolved	crates/icydb-core/src/db/predicate/resolved.rs	support		0	0	none
db::predicate::row_policy	crates/icydb-core/src/db/predicate/row_policy.rs	support		0	0	none
db::predicate::runtime	crates/icydb-core/src/db/predicate/runtime.rs	support		0	0	none
db::predicate::semantics	crates/icydb-core/src/db/predicate/semantics.rs	support		0	0	none
db::predicate::simplify	crates/icydb-core/src/db/predicate/simplify.rs	support		0	0	none
db::query::access::access_visitor	crates/icydb-core/src/db/query/access/access_visitor.rs	query/plan	query/plan	0	0	none
db::query::access	crates/icydb-core/src/db/query/access/mod.rs	query/plan		0	0	none
db::query::api	crates/icydb-core/src/db/query/api/mod.rs	query/plan		0	0	none
db::query::api::private	crates/icydb-core/src/db/query/api/private.rs	query/plan		0	0	none
db::query::api::result_ext	crates/icydb-core/src/db/query/api/result_ext.rs	query/plan	query/plan	0	0	none
db::query::builder::aggregate	crates/icydb-core/src/db/query/builder/aggregate.rs	query/plan	query/plan	0	0	none
db::query::builder::field	crates/icydb-core/src/db/query/builder/field.rs	query/plan		0	0	none
db::query::builder	crates/icydb-core/src/db/query/builder/mod.rs	query/plan		0	0	none
db::query::explain::access_projection	crates/icydb-core/src/db/query/explain/access_projection.rs	query/plan	query/plan,access	0	1	cross-layer-semantic-mix
db::query::explain::execution	crates/icydb-core/src/db/query/explain/execution.rs	query/plan	query/plan	0	0	none
db::query::explain::json	crates/icydb-core/src/db/query/explain/json.rs	query/plan	query/plan	0	0	none
db::query::explain	crates/icydb-core/src/db/query/explain/mod.rs	query/plan		0	0	none
db::query::explain::nodes::aggregate	crates/icydb-core/src/db/query/explain/nodes/aggregate.rs	query/plan	query/plan	0	0	none
db::query::explain::nodes	crates/icydb-core/src/db/query/explain/nodes/mod.rs	query/plan	query/plan	0	0	none
db::query::explain::nodes::pipeline	crates/icydb-core/src/db/query/explain/nodes/pipeline.rs	query/plan	query/plan	0	0	none
db::query::explain::nodes::scan	crates/icydb-core/src/db/query/explain/nodes/scan.rs	query/plan	query/plan	0	0	none
db::query::explain::nodes::terminal	crates/icydb-core/src/db/query/explain/nodes/terminal.rs	query/plan	query/plan	0	0	none
db::query::explain::plan	crates/icydb-core/src/db/query/explain/plan.rs	query/plan	query/plan,access	0	4	cross-layer-semantic-mix
db::query::explain::render	crates/icydb-core/src/db/query/explain/render.rs	query/plan	query/plan	0	0	none
db::query::explain::writer	crates/icydb-core/src/db/query/explain/writer.rs	query/plan		0	0	none
db::query::expr	crates/icydb-core/src/db/query/expr.rs	query/plan	query/plan	0	0	none
db::query::fingerprint::aggregate_hash	crates/icydb-core/src/db/query/fingerprint/aggregate_hash.rs	query/plan	query/plan	0	0	none
db::query::fingerprint::fingerprint	crates/icydb-core/src/db/query/fingerprint/fingerprint.rs	query/plan	intent,query/plan,access,codec	2	4	upward-import,cross-layer-semantic-mix
db::query::fingerprint::hash_parts	crates/icydb-core/src/db/query/fingerprint/hash_parts.rs	query/plan	query/plan,access,codec	0	5	cross-layer-semantic-mix
db::query::fingerprint	crates/icydb-core/src/db/query/fingerprint/mod.rs	query/plan	codec	0	2	cross-layer-semantic-mix
db::query::fingerprint::projection_hash	crates/icydb-core/src/db/query/fingerprint/projection_hash.rs	query/plan	query/plan,codec	0	1	cross-layer-semantic-mix
db::query::fingerprint::shape_signature	crates/icydb-core/src/db/query/fingerprint/shape_signature/mod.rs	query/plan	query/plan,executor	0	1	cross-layer-semantic-mix
db::query::fluent::delete	crates/icydb-core/src/db/query/fluent/delete.rs	query/plan	intent,query/plan	4	4	upward-import,cross-layer-semantic-mix
db::query::fluent::load::builder	crates/icydb-core/src/db/query/fluent/load/builder.rs	query/plan	intent,query/plan	4	4	upward-import,cross-layer-semantic-mix
db::query::fluent::load	crates/icydb-core/src/db/query/fluent/load/mod.rs	query/plan		0	0	none
db::query::fluent::load::pagination	crates/icydb-core/src/db/query/fluent/load/pagination.rs	query/plan	intent,query/plan	2	2	upward-import,cross-layer-semantic-mix
db::query::fluent::load::terminals	crates/icydb-core/src/db/query/fluent/load/terminals.rs	query/plan	intent,query/plan,executor	1	3	upward-import,cross-layer-semantic-mix
db::query::fluent::load::validation	crates/icydb-core/src/db/query/fluent/load/validation.rs	query/plan	intent,query/plan	2	2	upward-import,cross-layer-semantic-mix
db::query::fluent	crates/icydb-core/src/db/query/fluent/mod.rs	query/plan		0	0	none
db::query::intent::errors	crates/icydb-core/src/db/query/intent/errors.rs	intent	query/plan,executor	0	7	cross-layer-semantic-mix
db::query::intent::key_access	crates/icydb-core/src/db/query/intent/key_access.rs	intent	query/plan,access	0	4	cross-layer-semantic-mix
db::query::intent	crates/icydb-core/src/db/query/intent/mod.rs	intent	query/plan	0	2	cross-layer-semantic-mix
db::query::intent::model	crates/icydb-core/src/db/query/intent/model.rs	intent	intent,query/plan,access	0	25	cross-layer-semantic-mix
db::query::intent::mutation	crates/icydb-core/src/db/query/intent/mutation.rs	intent	intent,query/plan	0	8	cross-layer-semantic-mix
db::query::intent::order	crates/icydb-core/src/db/query/intent/order.rs	intent	query/plan	0	2	cross-layer-semantic-mix
db::query::intent::planning	crates/icydb-core/src/db/query/intent/planning.rs	intent	intent,query/plan	0	2	cross-layer-semantic-mix
db::query::intent::policy	crates/icydb-core/src/db/query/intent/policy.rs	intent	intent,query/plan	0	3	cross-layer-semantic-mix
db::query::intent::query	crates/icydb-core/src/db/query/intent/query.rs	intent	intent,query/plan	0	12	cross-layer-semantic-mix
db::query::intent::state	crates/icydb-core/src/db/query/intent/state.rs	intent	intent,query/plan	0	13	cross-layer-semantic-mix
db::query	crates/icydb-core/src/db/query/mod.rs	query/plan		0	0	none
db::query::plan::access_choice	crates/icydb-core/src/db/query/plan/access_choice.rs	query/plan	query/plan	0	0	none
db::query::plan::access_plan	crates/icydb-core/src/db/query/plan/access_plan.rs	query/plan	query/plan,access	0	3	cross-layer-semantic-mix
db::query::plan::access_planner	crates/icydb-core/src/db/query/plan/access_planner.rs	query/plan	query/plan,access	0	1	cross-layer-semantic-mix
db::query::plan::constant_predicate	crates/icydb-core/src/db/query/plan/constant_predicate.rs	query/plan		0	0	none
db::query::plan::continuation	crates/icydb-core/src/db/query/plan/continuation.rs	query/plan	query/plan,access,executor	0	6	cross-layer-semantic-mix
db::query::plan::covering	crates/icydb-core/src/db/query/plan/covering.rs	query/plan	query/plan,access	0	2	cross-layer-semantic-mix
db::query::plan::expr::ast	crates/icydb-core/src/db/query/plan/expr/ast.rs	query/plan	query/plan	0	0	none
db::query::plan::expr	crates/icydb-core/src/db/query/plan/expr/mod.rs	query/plan		0	0	none
db::query::plan::expr::projection	crates/icydb-core/src/db/query/plan/expr/projection.rs	query/plan	query/plan	0	0	none
db::query::plan::expr::type_inference	crates/icydb-core/src/db/query/plan/expr/type_inference/mod.rs	query/plan	query/plan	0	0	none
db::query::plan::group	crates/icydb-core/src/db/query/plan/group.rs	query/plan	query/plan	0	0	none
db::query::plan::grouped_layout	crates/icydb-core/src/db/query/plan/grouped_layout.rs	query/plan	query/plan	0	0	none
db::query::plan::limit_zero	crates/icydb-core/src/db/query/plan/limit_zero.rs	query/plan	query/plan	0	0	none
db::query::plan::logical_builder	crates/icydb-core/src/db/query/plan/logical_builder.rs	query/plan	query/plan	0	0	none
db::query::plan	crates/icydb-core/src/db/query/plan/mod.rs	query/plan		0	0	none
db::query::plan::model	crates/icydb-core/src/db/query/plan/model.rs	query/plan	query/plan,executor	0	1	cross-layer-semantic-mix
db::query::plan::model_builder	crates/icydb-core/src/db/query/plan/model_builder.rs	query/plan	query/plan	0	0	none
db::query::plan::order_contract	crates/icydb-core/src/db/query/plan/order_contract.rs	query/plan	query/plan	0	0	none
db::query::plan::planner::compare	crates/icydb-core/src/db/query/plan/planner/compare.rs	query/plan	query/plan,access	0	2	cross-layer-semantic-mix
db::query::plan::planner::index_select	crates/icydb-core/src/db/query/plan/planner/index_select.rs	query/plan		0	0	none
db::query::plan::planner	crates/icydb-core/src/db/query/plan/planner/mod.rs	query/plan	query/plan,access	0	1	cross-layer-semantic-mix
db::query::plan::planner::predicate	crates/icydb-core/src/db/query/plan/planner/predicate.rs	query/plan	query/plan,access	0	1	cross-layer-semantic-mix
db::query::plan::planner::prefix	crates/icydb-core/src/db/query/plan/planner/prefix.rs	query/plan	query/plan,access	0	1	cross-layer-semantic-mix
db::query::plan::planner::range	crates/icydb-core/src/db/query/plan/planner/range.rs	query/plan	query/plan,access	0	1	cross-layer-semantic-mix
db::query::plan::projection	crates/icydb-core/src/db/query/plan/projection.rs	query/plan	query/plan	0	0	none
db::query::plan::semantics::access_projection	crates/icydb-core/src/db/query/plan/semantics/access_projection.rs	query/plan	query/plan,access	0	2	cross-layer-semantic-mix
db::query::plan::semantics::group_distinct	crates/icydb-core/src/db/query/plan/semantics/group_distinct.rs	query/plan	query/plan	0	0	none
db::query::plan::semantics::group_having	crates/icydb-core/src/db/query/plan/semantics/group_having.rs	query/plan	query/plan	0	0	none
db::query::plan::semantics::group_model	crates/icydb-core/src/db/query/plan/semantics/group_model.rs	query/plan	query/plan	0	0	none
db::query::plan::semantics::grouped_strategy	crates/icydb-core/src/db/query/plan/semantics/grouped_strategy.rs	query/plan	query/plan,access	0	1	cross-layer-semantic-mix
db::query::plan::semantics::logical	crates/icydb-core/src/db/query/plan/semantics/logical.rs	query/plan	query/plan,access	0	1	cross-layer-semantic-mix
db::query::plan::semantics	crates/icydb-core/src/db/query/plan/semantics/mod.rs	query/plan		0	0	none
db::query::plan::semantics::pushdown	crates/icydb-core/src/db/query/plan/semantics/pushdown.rs	query/plan	query/plan	0	0	none
db::query::plan::stability	crates/icydb-core/src/db/query/plan/stability.rs	query/plan	access	0	4	cross-layer-semantic-mix
db::query::plan::validate::core	crates/icydb-core/src/db/query/plan/validate/core.rs	query/plan	query/plan,access	0	1	cross-layer-semantic-mix
db::query::plan::validate::cursor_policy	crates/icydb-core/src/db/query/plan/validate/cursor_policy.rs	query/plan	query/plan	0	0	none
db::query::plan::validate::errors	crates/icydb-core/src/db/query/plan/validate/errors.rs	query/plan	access,executor	0	2	cross-layer-semantic-mix
db::query::plan::validate::fluent_policy	crates/icydb-core/src/db/query/plan/validate/fluent_policy.rs	query/plan	query/plan	0	0	none
db::query::plan::validate::grouped::cursor	crates/icydb-core/src/db/query/plan/validate/grouped/cursor/mod.rs	query/plan	query/plan	0	0	none
db::query::plan::validate::grouped	crates/icydb-core/src/db/query/plan/validate/grouped/mod.rs	query/plan		0	0	none
db::query::plan::validate::grouped::policy	crates/icydb-core/src/db/query/plan/validate/grouped/policy/mod.rs	query/plan	query/plan	0	0	none
db::query::plan::validate::grouped::policy::rules	crates/icydb-core/src/db/query/plan/validate/grouped/policy/rules.rs	query/plan	query/plan	0	0	none
db::query::plan::validate::grouped::projection_expr	crates/icydb-core/src/db/query/plan/validate/grouped/projection_expr/mod.rs	query/plan	query/plan	0	0	none
db::query::plan::validate::grouped::structure	crates/icydb-core/src/db/query/plan/validate/grouped/structure/mod.rs	query/plan	query/plan	0	0	none
db::query::plan::validate::intent_policy	crates/icydb-core/src/db/query/plan/validate/intent_policy.rs	query/plan	query/plan	0	0	none
db::query::plan::validate	crates/icydb-core/src/db/query/plan/validate/mod.rs	query/plan		0	0	none
db::query::plan::validate::order	crates/icydb-core/src/db/query/plan/validate/order.rs	query/plan	query/plan	0	0	none
db::query::plan::validate::plan_shape	crates/icydb-core/src/db/query/plan/validate/plan_shape.rs	query/plan	query/plan	0	0	none
db::query::plan::validate::symbols	crates/icydb-core/src/db/query/plan/validate/symbols.rs	query/plan	query/plan	0	0	none
db::query::policy	crates/icydb-core/src/db/query/policy.rs	query/plan	query/plan	0	0	none
db::query::trace	crates/icydb-core/src/db/query/trace.rs	query/plan	query/plan	0	0	none
db::registry	crates/icydb-core/src/db/registry.rs	support	index/storage	0	0	none
db::relation::metadata	crates/icydb-core/src/db/relation/metadata.rs	index/storage		0	0	none
db::relation	crates/icydb-core/src/db/relation/mod.rs	index/storage	index/storage	0	0	none
db::relation::reverse_index	crates/icydb-core/src/db/relation/reverse_index.rs	index/storage	index/storage	0	0	none
db::relation::save_validate	crates/icydb-core/src/db/relation/save_validate.rs	index/storage	index/storage	0	0	none
db::relation::validate	crates/icydb-core/src/db/relation/validate.rs	index/storage	index/storage	0	0	none
db::response::grouped	crates/icydb-core/src/db/response/grouped.rs	support		0	0	none
db::response	crates/icydb-core/src/db/response/mod.rs	support		0	0	none
db::response::paged	crates/icydb-core/src/db/response/paged.rs	support		0	0	none
db::response::private	crates/icydb-core/src/db/response/private.rs	support		0	0	none
db::schema::describe	crates/icydb-core/src/db/schema/describe.rs	support		0	0	none
db::schema::errors	crates/icydb-core/src/db/schema/errors.rs	support		0	0	none
db::schema::fingerprint	crates/icydb-core/src/db/schema/fingerprint.rs	support	index/storage	0	0	none
db::schema::format	crates/icydb-core/src/db/schema/format.rs	support		0	0	none
db::schema::info	crates/icydb-core/src/db/schema/info.rs	support		0	0	none
db::schema	crates/icydb-core/src/db/schema/mod.rs	support		0	0	none
db::schema::types	crates/icydb-core/src/db/schema/types.rs	support		0	0	none
db::schema::validate	crates/icydb-core/src/db/schema/validate.rs	support		0	0	none
db::session	crates/icydb-core/src/db/session.rs	support	intent,query/plan,access,executor,index/storage	0	0	none
db::sql::lowering	crates/icydb-core/src/db/sql/lowering.rs	query/plan	intent,query/plan,executor	2	3	upward-import,cross-layer-semantic-mix
db::sql	crates/icydb-core/src/db/sql/mod.rs	query/plan		0	0	none
db::sql::parser	crates/icydb-core/src/db/sql/parser.rs	query/plan	query/plan	0	0	none
error	crates/icydb-core/src/error/mod.rs	support		0	0	none
lib	crates/icydb-core/src/lib.rs	support		0	0	none
metrics	crates/icydb-core/src/metrics/mod.rs	support		0	0	none
metrics::sink	crates/icydb-core/src/metrics/sink.rs	support		0	0	none
metrics::state	crates/icydb-core/src/metrics/state.rs	support		0	0	none
model::entity	crates/icydb-core/src/model/entity.rs	support		0	0	none
model::field	crates/icydb-core/src/model/field.rs	support		0	0	none
model::index	crates/icydb-core/src/model/index.rs	support		0	0	none
model	crates/icydb-core/src/model/mod.rs	support		0	0	none
patch::list	crates/icydb-core/src/patch/list.rs	support		0	0	none
patch::map	crates/icydb-core/src/patch/map.rs	support		0	0	none
patch::merge::error	crates/icydb-core/src/patch/merge/error.rs	support		0	0	none
patch::merge::list	crates/icydb-core/src/patch/merge/list.rs	support		0	0	none
patch::merge::map	crates/icydb-core/src/patch/merge/map.rs	support		0	0	none
patch::merge	crates/icydb-core/src/patch/merge/mod.rs	support		0	0	none
patch::merge::scalar	crates/icydb-core/src/patch/merge/scalar.rs	support		0	0	none
patch::merge::set	crates/icydb-core/src/patch/merge/set.rs	support		0	0	none
patch	crates/icydb-core/src/patch/mod.rs	support		0	0	none
patch::set	crates/icydb-core/src/patch/set.rs	support		0	0	none
sanitize	crates/icydb-core/src/sanitize.rs	support		0	0	none
scalar_registry	crates/icydb-core/src/scalar_registry.rs	support		0	0	none
serialize::cbor	crates/icydb-core/src/serialize/cbor.rs	codec	codec	0	0	none
serialize	crates/icydb-core/src/serialize/mod.rs	codec		0	0	none
traits::atomic	crates/icydb-core/src/traits/atomic.rs	support		0	0	none
traits::macros	crates/icydb-core/src/traits/macros.rs	support		0	0	none
traits	crates/icydb-core/src/traits/mod.rs	support		0	0	none
traits::view	crates/icydb-core/src/traits/view.rs	support		0	0	none
traits::visitor	crates/icydb-core/src/traits/visitor.rs	support		0	0	none
types::account	crates/icydb-core/src/types/account.rs	support		0	0	none
types::blob	crates/icydb-core/src/types/blob.rs	support		0	0	none
types::date	crates/icydb-core/src/types/date.rs	support		0	0	none
types::decimal	crates/icydb-core/src/types/decimal.rs	support		0	0	none
types::duration	crates/icydb-core/src/types/duration.rs	support		0	0	none
types::float::float32	crates/icydb-core/src/types/float/float32.rs	support		0	0	none
types::float::float64	crates/icydb-core/src/types/float/float64.rs	support		0	0	none
types::float	crates/icydb-core/src/types/float/mod.rs	support		0	0	none
types::identity::generate_key	crates/icydb-core/src/types/identity/generate_key.rs	support		0	0	none
types::identity::id	crates/icydb-core/src/types/identity/id.rs	support		0	0	none
types::identity	crates/icydb-core/src/types/identity/mod.rs	support		0	0	none
types::identity::projection	crates/icydb-core/src/types/identity/projection.rs	support		0	0	none
types::int::int128	crates/icydb-core/src/types/int/int128.rs	support		0	0	none
types::int	crates/icydb-core/src/types/int/mod.rs	support		0	0	none
types	crates/icydb-core/src/types/mod.rs	support		0	0	none
types::nat	crates/icydb-core/src/types/nat/mod.rs	support		0	0	none
types::nat::nat128	crates/icydb-core/src/types/nat/nat128.rs	support		0	0	none
types::principal	crates/icydb-core/src/types/principal.rs	support		0	0	none
types::subaccount	crates/icydb-core/src/types/subaccount.rs	support		0	0	none
types::timestamp	crates/icydb-core/src/types/timestamp.rs	support		0	0	none
types::ulid::fixture	crates/icydb-core/src/types/ulid/fixture.rs	support		0	0	none
types::ulid::generator	crates/icydb-core/src/types/ulid/generator.rs	support		0	0	none
types::ulid	crates/icydb-core/src/types/ulid/mod.rs	support		0	0	none
types::unit	crates/icydb-core/src/types/unit.rs	support		0	0	none
validate	crates/icydb-core/src/validate.rs	support		0	0	none
value::coercion	crates/icydb-core/src/value/coercion.rs	support		0	0	none
value::compare	crates/icydb-core/src/value/compare.rs	support		0	0	none
value::hash	crates/icydb-core/src/value/hash.rs	support		0	0	none
value	crates/icydb-core/src/value/mod.rs	support		0	0	none
value::rank	crates/icydb-core/src/value/rank.rs	support		0	0	none
value::storage_key	crates/icydb-core/src/value/storage_key.rs	support		0	0	none
value::tag	crates/icydb-core/src/value/tag.rs	support		0	0	none
value::wire	crates/icydb-core/src/value/wire.rs	support		0	0	none
visitor::context	crates/icydb-core/src/visitor/context.rs	support		0	0	none
visitor	crates/icydb-core/src/visitor/mod.rs	support		0	0	none
visitor::sanitize	crates/icydb-core/src/visitor/sanitize.rs	support		0	0	none
visitor::validate	crates/icydb-core/src/visitor/validate.rs	support		0	0	none
